LR,RF,KN,SVM
0.8853046594982079,0.8243727598566308,0.7580645161290323,0.7921146953405018
0.7529761904761905,0.6696428571428572,0.6815476190476191,0.7380952380952381
0.7554945054945055,0.6785714285714286,0.6909340659340659,0.6483516483516483
0.7066666666666667,0.725,0.6333333333333333,0.7233333333333334
0.8244047619047619,0.7678571428571429,0.7395833333333334,0.7142857142857143
0.7749360613810742,0.7928388746803069,0.7493606138107418,0.8005115089514068
0.8046875,0.7617187499999999,0.8216145833333333,0.8671875
0.8988095238095237,0.8556547619047619,0.8080357142857142,0.8720238095238094
0.7559523809523809,0.7113095238095238,0.7872023809523809,0.6398809523809524
0.8133333333333334,0.6516666666666667,0.65,0.72
